id,conversation_id,event_type,payload,confidence,created_at,workflow_step,event_status
1,session-1765704807460,request_received,"{""text"":""Gdzie mogę zjeść w pobliżu""}",,2025-12-18 00:07:22.892+00,,
2,session-1765704807460,intent_resolved,"{""reply"":"""",""intent"":""find_nearby"",""source"":""classic"",""confidence"":1}",,2025-12-18 00:07:28.672+00,,
3,session-1765704807460,request_received,"{""text"":""Rezydencja Luxury Hotel""}",,2025-12-18 00:08:09.67+00,,
4,session-1765704807460,intent_resolved,"{""reply"":""Nie mogę pobrać danych z bazy. Sprawdź połączenie z serwerem."",""intent"":""menu_request"",""source"":""classic"",""confidence"":1}",,2025-12-18 00:08:15.465+00,,
5,session-1765704807460,response_sent,"{""intent"":""menu_request"",""timestamp"":""2025-12-18T00:08:15.465Z""}",,2025-12-18 00:08:15.466+00,,
6,session-1765704807460,response_sent,"{""meta"":{""reasoning"":{""reasoning"":""User provided a specific restaurant name → selecting restaurant."",""searchMenu"":true,""completeOrder"":false,""askClarification"":false,""searchRestaurants"":false}},""reply"":""Przykro mi, nie mogę pobrać menu Rezydencji Luxury Hotel w tej chwili. Sprawdź połączenie z serwerem lub spróbuj później."",""intent"":""menu_request"",""timings"":{""dbMs"":5079,""nluMs"":834,""ttsMs"":0,""totalMs"":6106},""fallback"":false,""confidence"":0.9}",,2025-12-18 00:08:15.465+00,,
7,session-1765704807460,request_received,"{""text"":""Vien-Thien""}",,2025-12-18 00:13:07.857+00,,
8,session-1765704807460,intent_resolved,"{""reply"":""Nie mogę pobrać danych z bazy. Sprawdź połączenie z serwerem."",""intent"":""menu_request"",""source"":""classic"",""confidence"":0.9}",,2025-12-18 00:13:17.902+00,,
9,session-1765704807460,response_sent,"{""meta"":{""reasoning"":{""reasoning"":""Wybrano searchMenu ponieważ użytkownik podał nazwę restauracji 'Vien-Thien', a system powinien teraz wyszukać menu dla tej konkretnej restauracji, zgodnie z jego intencją zamówienia."",""searchMenu"":true,""completeOrder"":false,""askClarification"":false,""searchRestaurants"":false}},""reply"":""Niestety, nie mogę pobrać menu z restauracji Vien-Thien w tej chwili. Sprawdź połączenie z serwerem lub spróbuj ponownie później."",""intent"":""menu_request"",""timings"":{""dbMs"":9764,""nluMs"":694,""ttsMs"":0,""totalMs"":11024},""fallback"":false,""confidence"":0.9}",,2025-12-18 00:13:17.902+00,,
10,session-1765704807460,response_sent,"{""intent"":""menu_request"",""timestamp"":""2025-12-18T00:13:17.902Z""}",,2025-12-18 00:13:17.902+00,,
11,session-1765704807460,request_received,"{""text"":""Gdzie mogę zjeść w Piekarach Śląskich""}",,2025-12-18 00:13:53.369+00,,
12,session-1765704807460,request_received,"{""text"":""Gdzie mogę wziąć w Piekarach""}",,2025-12-18 00:14:16.379+00,,
13,session-1765704807460,request_received,"{""text"":""Poleć miejsca w pobliżu""}",,2025-12-18 00:14:22.652+00,,
14,session-1765704807460,intent_resolved,"{""reply"":""Znalazłam 9. Oto top 3 propozycje w Piekary:\n1. Restauracja Stara Kamienica (Polska)\n2. Rezydencja Luxury Hotel (Międzynarodowa)\n3. Klaps Burgers (Amerykańska)\n\nKtórą wybierasz?"",""intent"":""show_city_results"",""source"":""classic"",""confidence"":0.9}",,2025-12-18 00:14:28.132+00,,
15,session-1765704807460,request_received,"{""text"":""wybieram Stara Kamienica""}",,2025-12-18 00:14:51.625+00,,
16,session-1765704807460,intent_resolved,"{""reply"":""Nie mogę pobrać danych z bazy. Sprawdź połączenie z serwerem."",""intent"":""menu_request"",""source"":""llm"",""confidence"":0.9}",,2025-12-18 00:15:00.341+00,,
17,session-1765704807460,response_sent,"{""intent"":""menu_request"",""timestamp"":""2025-12-18T00:15:00.341Z""}",,2025-12-18 00:15:00.341+00,,
18,session-1765704807460,response_sent,"{""meta"":{""reasoning"":{""reasoning"":""Wybrano searchMenu ponieważ użytkownik wskazał konkretną restaurację (Stara Kamienica) i konieczne jest wyszukiwanie menu dla tej restauracji."",""searchMenu"":true,""completeOrder"":false,""askClarification"":false,""searchRestaurants"":false}},""reply"":""Niestety, nie mogę pobrać menu z restauracji Stara Kamienica. Proszę sprawdzić połączenie z serwerem."",""intent"":""menu_request"",""timings"":{""dbMs"":6004,""nluMs"":3208,""ttsMs"":0,""totalMs"":9073},""fallback"":false,""confidence"":0.9}",,2025-12-18 00:15:00.341+00,,
19,session-1765704807460,request_received,"{""text"":""bar Praga 1""}",,2025-12-18 00:15:25.904+00,,
20,session-1765704807460,response_sent,"{""intent"":""menu_request"",""timestamp"":""2025-12-18T00:15:35.175Z""}",,2025-12-18 00:15:35.175+00,,
