TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-02-07 02:50:16,1770432616838,backend-one-gilt-89.vercel.app/api/brain/v2,POST,,500,qttdk-1770432616625-06be97cb4651,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/server-vercel.js,backend-one-gilt-89.vercel.app,backend-one-gilt-89.vercel.app,dpl_GcZ7fbAbK3jHMFVVvrZVeL7vSuim,,,,,"❌ Brain V2 error: Error [ERR_MODULE_NOT_FOUND]: Cannot find module '/var/task/api/brain/tts/TtsChunker.js' imported from /var/task/api/brain/core/pipeline.js
    at finalizeResolution (node:internal/modules/esm/resolve:280:11)
    at moduleResolve (node:internal/modules/esm/resolve:870:10)
    at moduleResolveWithNodePath (node:internal/modules/esm/resolve:996:14)
    at defaultResolve (node:internal/modules/esm/resolve:1039:79)
    at #cachedDefaultResolve (node:internal/modules/esm/loader:718:20)
    at #resolveAndMaybeBlockOnLoaderThread (node:internal/modules/esm/loader:735:38)
    at ModuleLoader.resolveSync (node:internal/modules/esm/loader:764:52)
    at #resolve (node:internal/modules/esm/loader:700:17)
    at ModuleLoader.getOrCreateModuleJob (node:internal/modules/esm/loader:620:35)
    at ModuleJob.syncLink (node:internal/modules/esm/module_job:143:33) {
  code: 'ERR_MODULE_NOT_FOUND',
  url: 'file:///var/task/api/brain/tts/TtsChunker.js'
}",prj_o7l4vZl14SXjUc8ILOrSTeM555wX,,,,,
2026-02-07 02:50:16,1770432616625,backend-one-gilt-89.vercel.app/api/brain/v2,POST,,500,qttdk-1770432616625-06be97cb4651,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,function,/api/server-vercel.js,backend-one-gilt-89.vercel.app,backend-one-gilt-89.vercel.app,dpl_GcZ7fbAbK3jHMFVVvrZVeL7vSuim,146,iad1,276,2048,,prj_o7l4vZl14SXjUc8ILOrSTeM555wX,,,01KGV03P758FT2K5F29P80Y7QG,qcrWduHpx6cr,1
2026-02-07 02:50:16,1770432616421,backend-one-gilt-89.vercel.app/api/brain/v2,OPTIONS,,204,qttdk-1770432616421-c3d8b352fc70,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,function,/api/server-vercel.js,backend-one-gilt-89.vercel.app,backend-jrkn2eygn-freeflow-build.vercel.app,dpl_GcZ7fbAbK3jHMFVVvrZVeL7vSuim,7,iad1,271,2048,,prj_o7l4vZl14SXjUc8ILOrSTeM555wX,,,01KGV03P11WXJ93J66J3PYCR7N,qcrWduHpx6cr,1
2026-02-07 02:49:25,1770432565947,backend-one-gilt-89.vercel.app/api/brain/v2,POST,,500,qthr8-1770432565861-adb103ba1c59,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/server-vercel.js,backend-one-gilt-89.vercel.app,backend-one-gilt-89.vercel.app,dpl_GcZ7fbAbK3jHMFVVvrZVeL7vSuim,,,,,"❌ Brain V2 error: Error [ERR_MODULE_NOT_FOUND]: Cannot find module '/var/task/api/brain/tts/TtsChunker.js' imported from /var/task/api/brain/core/pipeline.js
    at finalizeResolution (node:internal/modules/esm/resolve:280:11)
    at moduleResolve (node:internal/modules/esm/resolve:870:10)
    at moduleResolveWithNodePath (node:internal/modules/esm/resolve:996:14)
    at defaultResolve (node:internal/modules/esm/resolve:1039:79)
    at #cachedDefaultResolve (node:internal/modules/esm/loader:718:20)
    at #resolveAndMaybeBlockOnLoaderThread (node:internal/modules/esm/loader:735:38)
    at ModuleLoader.resolveSync (node:internal/modules/esm/loader:764:52)
    at #resolve (node:internal/modules/esm/loader:700:17)
    at ModuleLoader.getOrCreateModuleJob (node:internal/modules/esm/loader:620:35)
    at ModuleJob.syncLink (node:internal/modules/esm/module_job:143:33) {
  code: 'ERR_MODULE_NOT_FOUND',
  url: 'file:///var/task/api/brain/tts/TtsChunker.js'
}",prj_o7l4vZl14SXjUc8ILOrSTeM555wX,,,,,
2026-02-07 02:49:25,1770432565861,backend-one-gilt-89.vercel.app/api/brain/v2,POST,,500,qthr8-1770432565861-adb103ba1c59,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,function,/api/server-vercel.js,backend-one-gilt-89.vercel.app,backend-one-gilt-89.vercel.app,dpl_GcZ7fbAbK3jHMFVVvrZVeL7vSuim,11,iad1,258,2048,,prj_o7l4vZl14SXjUc8ILOrSTeM555wX,,,01KGV024N6Q326D5QEQPEXVNYH,5cQ5mxIBDvc3,1
2026-02-07 02:49:25,1770432565550,backend-one-gilt-89.vercel.app/api/brain/v2,OPTIONS,,204,mmr9g-1770432565550-e93d27eedd7c,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,function,/api/server-vercel.js,backend-one-gilt-89.vercel.app,backend-jrkn2eygn-freeflow-build.vercel.app,dpl_GcZ7fbAbK3jHMFVVvrZVeL7vSuim,34,iad1,266,2048,,prj_o7l4vZl14SXjUc8ILOrSTeM555wX,,,01KGV024BZPPFXBXJKM52P8TQJ,5cQ5mxIBDvc3,1
2026-02-07 02:48:49,1770432529297,backend-one-gilt-89.vercel.app/api/brain/v2,POST,,500,2hq9f-1770432529213-173c21599f6b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/server-vercel.js,backend-one-gilt-89.vercel.app,backend-one-gilt-89.vercel.app,dpl_GcZ7fbAbK3jHMFVVvrZVeL7vSuim,,,,,"❌ Brain V2 error: Error [ERR_MODULE_NOT_FOUND]: Cannot find module '/var/task/api/brain/tts/TtsChunker.js' imported from /var/task/api/brain/core/pipeline.js
    at finalizeResolution (node:internal/modules/esm/resolve:280:11)
    at moduleResolve (node:internal/modules/esm/resolve:870:10)
    at moduleResolveWithNodePath (node:internal/modules/esm/resolve:996:14)
    at defaultResolve (node:internal/modules/esm/resolve:1039:79)
    at #cachedDefaultResolve (node:internal/modules/esm/loader:718:20)
    at #resolveAndMaybeBlockOnLoaderThread (node:internal/modules/esm/loader:735:38)
    at ModuleLoader.resolveSync (node:internal/modules/esm/loader:764:52)
    at #resolve (node:internal/modules/esm/loader:700:17)
    at ModuleLoader.getOrCreateModuleJob (node:internal/modules/esm/loader:620:35)
    at ModuleJob.syncLink (node:internal/modules/esm/module_job:143:33) {
  code: 'ERR_MODULE_NOT_FOUND',
  url: 'file:///var/task/api/brain/tts/TtsChunker.js'
}",prj_o7l4vZl14SXjUc8ILOrSTeM555wX,,,,,
2026-02-07 02:48:49,1770432529213,backend-one-gilt-89.vercel.app/api/brain/v2,POST,,500,2hq9f-1770432529213-173c21599f6b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,function,/api/server-vercel.js,backend-one-gilt-89.vercel.app,backend-one-gilt-89.vercel.app,dpl_GcZ7fbAbK3jHMFVVvrZVeL7vSuim,16,iad1,266,2048,,prj_o7l4vZl14SXjUc8ILOrSTeM555wX,,,01KGV010VPXYWKJN2VNN34SMFX,5cQ5mxIBDvc3,1
2026-02-07 02:48:48,1770432528986,backend-one-gilt-89.vercel.app/api/brain/v2,OPTIONS,,204,xpc7x-1770432528986-a593299f562c,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,function,/api/server-vercel.js,backend-one-gilt-89.vercel.app,backend-jrkn2eygn-freeflow-build.vercel.app,dpl_GcZ7fbAbK3jHMFVVvrZVeL7vSuim,26,iad1,264,2048,,prj_o7l4vZl14SXjUc8ILOrSTeM555wX,,,01KGV010MMV7WYPJYNM3PXCZBX,5cQ5mxIBDvc3,1
2026-02-07 02:48:18,1770432498777,backend-one-gilt-89.vercel.app/api/brain/v2,POST,,500,4xzdx-1770432498541-27772423a2b2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/server-vercel.js,backend-one-gilt-89.vercel.app,backend-one-gilt-89.vercel.app,dpl_GcZ7fbAbK3jHMFVVvrZVeL7vSuim,,,,,"❌ Brain V2 error: Error [ERR_MODULE_NOT_FOUND]: Cannot find module '/var/task/api/brain/tts/TtsChunker.js' imported from /var/task/api/brain/core/pipeline.js
    at finalizeResolution (node:internal/modules/esm/resolve:280:11)
    at moduleResolve (node:internal/modules/esm/resolve:870:10)
    at moduleResolveWithNodePath (node:internal/modules/esm/resolve:996:14)
    at defaultResolve (node:internal/modules/esm/resolve:1039:79)
    at #cachedDefaultResolve (node:internal/modules/esm/loader:718:20)
    at #resolveAndMaybeBlockOnLoaderThread (node:internal/modules/esm/loader:735:38)
    at ModuleLoader.resolveSync (node:internal/modules/esm/loader:764:52)
    at #resolve (node:internal/modules/esm/loader:700:17)
    at ModuleLoader.getOrCreateModuleJob (node:internal/modules/esm/loader:620:35)
    at ModuleJob.syncLink (node:internal/modules/esm/module_job:143:33) {
  code: 'ERR_MODULE_NOT_FOUND',
  url: 'file:///var/task/api/brain/tts/TtsChunker.js'
}",prj_o7l4vZl14SXjUc8ILOrSTeM555wX,,,,,
